Ensembl gene ID	Gene symbol	Chromosome	Transcript start (hg19)	Transcript end (hg19)	P value	False discovery rate
ENSG00000000938	FGR	1	27938575	27961788	1.30686917368e-11	<0.01
ENSG00000007908	SELE	1	169691781	169703220	1.19719971177e-08	<0.01
ENSG00000008130	NADK	1	1682671	1711896	1.50401875693e-11	<0.01
ENSG00000009790	TRAF3IP3	1	209929377	209955668	5.22498051157e-17	<0.01
ENSG00000020633	RUNX3	1	25226002	25291612	1.1555370741e-10	<0.01
ENSG00000026751	SLAMF7	1	160709037	160724611	7.85993187147e-10	<0.01
ENSG00000027869	SH2D2A	1	156776035	156786654	7.47464185987e-15	<0.01
ENSG00000028137	TNFRSF1B	1	12227060	12269285	3.9706526076e-15	<0.01
ENSG00000049249	TNFRSF9	1	7979907	8000926	2.19137763891e-13	<0.01
ENSG00000055070	C1orf144	1	16679070	16724640	3.71365679364e-09	<0.01
ENSG00000064886	CHI3L2	1	111743393	111786062	4.58628185866e-08	<0.01
ENSG00000072694	FCGR2B	1	161551101	161648444	3.07620740808e-10	<0.01
ENSG00000079277	MKNK1	1	47023090	47082515	2.5781652821e-13	<0.01
ENSG00000081237	PTPRC	1	198607801	198726545	3.41125375016e-14	<0.01
ENSG00000081985	IL12RB2	1	67773047	67862583	5.29791850348e-15	<0.01
ENSG00000082512	TRAF5	1	211499957	211548288	2.98854616896e-09	<0.01
ENSG00000084070	SMAP2	1	40810522	40888998	1.65834332596e-15	<0.01
ENSG00000090104	RGS1	1	192544857	192549161	1.05573791519e-16	<0.01
ENSG00000097033	SH3GLB1	1	87170259	87213867	4.62551614789e-13	<0.01
ENSG00000116473	RAP1A	1	112084840	112259313	6.59465206656e-10	<0.01
ENSG00000116514	RNF19B	1	33402046	33430286	1.84527087439e-12	<0.01
ENSG00000116584	ARHGEF2	1	155916645	155966129	2.20113831727e-08	<0.01
ENSG00000116663	FBXO6	1	11724181	11734411	6.24087420649e-12	<0.01
ENSG00000116701	NCF2	1	183524698	183560011	1.30129097974e-10	<0.01
ENSG00000116809	ZBTB17	1	16268364	16302627	8.26330482303e-09	<0.01
ENSG00000116815	CD58	1	117057157	117113661	1.85616023964e-09	<0.01
ENSG00000116824	CD2	1	117297007	117311850	1.7773636646e-14	<0.01
ENSG00000117036	ETV3	1	157090983	157108266	1.52114718981e-11	<0.01
ENSG00000117090	SLAMF1	1	160577890	160617085	4.11540048336e-15	<0.01
ENSG00000117091	CD48	1	160648536	160681641	7.05642546406e-12	<0.01
ENSG00000117215	PLA2G2D	1	20438432	20446050	1.25854292761e-12	<0.01
ENSG00000117226	GBP3	1	89472360	89488549	9.66881587518e-09	<0.01
ENSG00000117228	GBP1	1	89518002	89531043	2.89649246031e-18	<0.01
ENSG00000117280	RAB7L1	1	205737114	205744588	8.35823517649e-17	<0.01
ENSG00000117281	CD160	1	145695798	145715614	1.28143918705e-09	<0.01
ENSG00000117322	CR2	1	207627575	207663240	8.51409158347e-12	<0.01
ENSG00000117501	C1orf129	1	170904612	171033906	7.46361198806e-14	<0.01
ENSG00000117560	FASLG	1	172628154	172636014	3.55252744161e-13	<0.01
ENSG00000117586	TNFSF4	1	173152873	173176452	2.49260634203e-10	<0.01
ENSG00000117602	RCAN3	1	24829387	24863506	7.54697089757e-11	<0.01
ENSG00000117676	RPS6KA1	1	26856252	26901521	5.86519486234e-16	<0.01
ENSG00000119535	CSF3R	1	36931644	36948879	2.89530436259e-10	<0.01
ENSG00000120337	TNFSF18	1	173009100	173020103	8.99381702363e-09	<0.01
ENSG00000120949	TNFRSF8	1	12123434	12204264	1.41683781138e-13	<0.01
ENSG00000122188	LAX1	1	203734304	203745361	2.15947433809e-11	<0.01
ENSG00000122223	CD244	1	160799950	160832692	2.44295234118e-11	<0.01
ENSG00000122224	LY9	1	160765896	160798045	1.28452199678e-07	<0.01
ENSG00000123685	BATF3	1	212859760	212873327	1.39282181021e-15	<0.01
ENSG00000127124	HIVEP3	1	41972036	42501596	1.02346179133e-10	<0.01
ENSG00000130775	C1orf38	1	28199055	28213196	2.5801800917e-11	<0.01
ENSG00000132185	FCRLA	1	161676762	161684142	2.83202438054e-12	<0.01
ENSG00000132704	FCRL2	1	157715521	157746922	2.80331048959e-17	<0.01
ENSG00000133065	SLC41A1	1	205758221	205782876	1.94344475711e-09	<0.01
ENSG00000134215	VAV3	1	108113782	108507766	4.22933219233e-09	<0.01
ENSG00000134242	PTPN22	1	114356433	114414381	3.52779273624e-16	<0.01
ENSG00000135823	STX6	1	180941861	180992047	1.07199953977e-11	<0.01
ENSG00000135842	FAM129A	1	184759858	184943682	1.76531390575e-12	<0.01
ENSG00000135870	RC3H1	1	173900352	173991435	7.52906556263e-15	<0.01
ENSG00000136630	HLX	1	221051699	221059124	1.63821982336e-08	<0.01
ENSG00000136634	IL10	1	206940947	206945839	5.0395475957e-14	<0.01
ENSG00000136653	RASSF5	1	206680879	206762616	1.33721371419e-17	<0.01
ENSG00000142634	EFHD2	1	15736391	15756839	3.11856051704e-09	<0.01
ENSG00000142669	SH3BGRL3	1	26605667	26608007	1.49682941697e-10	<0.01
ENSG00000142765	SYTL1	1	27668513	27680421	9.22555220874e-13	<0.01
ENSG00000142867	BCL10	1	85731931	85743771	6.48014727352e-13	<0.01
ENSG00000142961	MOB3C	1	47073387	47082563	1.98593851858e-14	<0.01
ENSG00000143119	CD53	1	111415772	111442550	5.82895240464e-14	<0.01
ENSG00000143157	POGK	1	166808681	166825581	5.14266318343e-09	<0.01
ENSG00000143184	XCL1	1	168545711	168551315	1.9319679909e-13	<0.01
ENSG00000143333	RGS16	1	182567758	182573543	6.82509388829e-10	<0.01
ENSG00000143337	TOR1AIP1	1	179851177	179888412	3.3834648583e-09	<0.01
ENSG00000143384	MCL1	1	150547032	150552073	6.28100255628e-11	<0.01
ENSG00000143390	RFX5	1	151313116	151319833	1.73928568523e-11	<0.01
ENSG00000143466	IKBKE	1	206643791	206670223	1.49199057004e-13	<0.01
ENSG00000143507	DUSP10	1	221874766	221915518	1.63524104784e-13	<0.01
ENSG00000143515	ATP8B2	1	154298029	154323783	1.96056713978e-09	<0.01
ENSG00000143669	LYST	1	235824341	236046940	2.28337108634e-15	<0.01
ENSG00000143772	ITPKB	1	226819391	226927024	8.29766547954e-10	<0.01
ENSG00000143851	PTPN7	1	202116141	202130716	1.52235050942e-14	<0.01
ENSG00000150681	RGS18	1	192127587	192154945	4.5268335348e-10	<0.01
ENSG00000153898	MCOLN2	1	85391268	85462796	2.07453741995e-09	<0.01
ENSG00000154451	GBP5	1	89724633	89738544	4.14570949766e-15	<0.01
ENSG00000155363	MOV10	1	113215763	113243368	1.78276072029e-08	<0.01
ENSG00000157191	NECAP2	1	16767167	16786573	1.8290131949e-16	<0.01
ENSG00000157873	TNFRSF14	1	2487078	2497061	6.98791572917e-11	<0.01
ENSG00000158195	WASF2	1	27730730	27816669	6.64048396936e-08	<0.01
ENSG00000158477	CD1A	1	158223927	158228059	9.7924871762e-11	<0.01
ENSG00000158481	CD1C	1	158259563	158264564	6.02822086714e-11	<0.01
ENSG00000158485	CD1B	1	158297741	158301321	1.69170277311e-09	<0.01
ENSG00000158488	CD1E	1	158323254	158327343	2.14438646896e-10	<0.01
ENSG00000158710	TAGLN2	1	159887897	159895522	1.43870864585e-08	<0.01
ENSG00000158711	ELK4	1	205566707	205601090	1.8732093912e-15	<0.01
ENSG00000158714	SLAMF8	1	159796540	159807039	2.10153565214e-10	<0.01
ENSG00000158786	PLA2G2F	1	20465819	20476879	9.02750511643e-14	<0.01
ENSG00000158869	FCER1G	1	161185024	161190489	1.216701549e-10	<0.01
ENSG00000159527	PGLYRP3	1	153270338	153283194	1.38393279951e-09	<0.01
ENSG00000160685	ZBTB7B	1	154975127	154990998	1.10688109591e-07	<0.01
ENSG00000160710	ADAR	1	154554538	154600475	2.81933780734e-09	<0.01
ENSG00000160712	IL6R	1	154377669	154441926	9.79737801026e-10	<0.01
ENSG00000160741	CRTC2	1	153920145	153931101	2.13376901755e-10	<0.01
ENSG00000160856	FCRL3	1	157646271	157670775	6.06098496539e-12	<0.01
ENSG00000162434	JAK1	1	65298912	65432187	1.62873498119e-11	<0.01
ENSG00000162511	LAPTM5	1	31205316	31230667	1.09035690293e-14	<0.01
ENSG00000162542	TMCO4	1	20008706	20126438	3.08609314851e-11	<0.01
ENSG00000162594	IL23R	1	67632083	67725662	2.47343813693e-08	<0.01
ENSG00000162636	FAM102B	1	109102711	109187522	8.52626598645e-08	<0.01
ENSG00000162645	GBP2	1	89571815	89616139	1.93641818112e-13	<0.01
ENSG00000162654	GBP4	1	89646831	89664615	5.20625292916e-13	<0.01
ENSG00000162676	GFI1	1	92940319	92952433	1.37947186402e-16	<0.01
ENSG00000162692	VCAM1	1	101185305	101204601	1.24058616352e-10	<0.01
ENSG00000162702	ZNF281	1	200375827	200379184	1.28484756579e-07	<0.01
ENSG00000162711	NLRP3	1	247579458	247612410	4.51839565419e-14	<0.01
ENSG00000162723	SLAMF9	1	159921282	159924044	1.20113619923e-10	<0.01
ENSG00000162739	SLAMF6	1	160454820	160493052	1.27871368334e-13	<0.01
ENSG00000162747	FCGR3B	1	161592986	161601753	2.87436580845e-10	<0.01
ENSG00000162772	ATF3	1	212738676	212794119	1.50916963701e-07	<0.01
ENSG00000162777	DENND2D	1	111729796	111747157	4.48933237821e-12	<0.01
ENSG00000162783	IER5	1	181057638	181059977	3.64216931781e-09	<0.01
ENSG00000162889	MAPKAPK2	1	206858289	206907628	8.47538792575e-11	<0.01
ENSG00000162892	IL24	1	207070788	207077484	1.0442781955e-07	<0.01
ENSG00000162894	FAIM3	1	207077731	207096592	8.78841219244e-16	<0.01
ENSG00000163154	TNFAIP8L2	1	151129105	151132225	5.73092823516e-11	<0.01
ENSG00000163349	HIPK1	1	114471814	114520426	1.18193168016e-11	<0.01
ENSG00000163534	FCRL1	1	157764193	157789895	2.10528313614e-13	<0.01
ENSG00000163564	PYHIN1	1	158900586	158946844	1.43677962065e-10	<0.01
ENSG00000163565	IFI16	1	158969758	159024945	1.05060370145e-10	<0.01
ENSG00000163568	AIM2	1	159032274	159116886	1.1764517663e-12	<0.01
ENSG00000163874	ZC3H12A	1	37940153	37949978	3.92155888531e-13	<0.01
ENSG00000164002	DEM1	1	40974413	40982228	2.48770788539e-08	<0.01
