Ensembl gene ID	Gene symbol	Chromosome	Transcript start (hg19)	Transcript end (hg19)	P value	False discovery rate
ENSG00000009307	CSDE1	1	115259534	115301297	0.000393138104347	<0.01
ENSG00000009780	FAM76A	1	28052490	28088475	1.79104068606e-05	<0.01
ENSG00000010803	SCMH1	1	41492872	41707826	4.17145783533e-06	<0.01
ENSG00000011009	LYPLA2	1	24117460	24122029	0.000166795483693	<0.01
ENSG00000011021	CLCN6	1	11866207	11903201	3.40553660088e-05	<0.01
ENSG00000020129	NCDN	1	36023074	36032875	3.01362351958e-05	<0.01
ENSG00000025800	KPNA6	1	32573639	32642169	5.0859995828e-05	<0.01
ENSG00000033122	LRRC7	1	70034081	70589164	9.27432252105e-05	<0.01
ENSG00000036549	ZZZ3	1	78028101	78149104	0.000278863577889	<0.01
ENSG00000037637	FBXO42	1	16573334	16678949	5.24187205586e-05	<0.01
ENSG00000048707	VPS13D	1	12290124	12572099	1.99059788456e-08	<0.01
ENSG00000049246	PER3	1	7844380	7905237	0.0002818210176	<0.01
ENSG00000054118	THRAP3	1	36690017	36770958	0.000192798020423	<0.01
ENSG00000054267	ARID4B	1	235294949	235491534	0.000238466308045	<0.01
ENSG00000054523	KIF1B	1	10270764	10441661	5.85065130664e-07	<0.01
ENSG00000055070	C1orf144	1	16679070	16724640	0.000559899799348	<0.01
ENSG00000065135	GNAI3	1	110091233	110136975	0.000186426973221	<0.01
ENSG00000066135	KDM4A	1	44115829	44171186	5.6486968639e-07	<0.01
ENSG00000066136	NFYC	1	41157320	41237275	5.05013878038e-08	<0.01
ENSG00000069275	NUCKS1	1	205681947	205719404	0.000139109235842	<0.01
ENSG00000069712	KIAA1107	1	92632542	92650280	0.000259172789999	<0.01
ENSG00000070831	CDC42	1	22379120	22419437	5.9739902085e-05	<0.01
ENSG00000075151	EIF4G3	1	21132972	21503377	1.00527950916e-13	<0.01
ENSG00000075391	RASAL2	1	178062864	178448644	0.000698924566268	<0.05
ENSG00000075945	KIFAP3	1	169890467	170054349	6.12480050535e-09	<0.01
ENSG00000077254	USP33	1	78161672	78225537	1.6429249699e-10	<0.01
ENSG00000077549	CAPZB	1	19665267	19812066	0.000278144994332	<0.01
ENSG00000078369	GNB1	1	1716725	1822502	4.66584425953e-08	<0.01
ENSG00000081019	RSBN1	1	114304454	114355098	3.24054646917e-06	<0.01
ENSG00000084628	NKAIN1	1	31652592	31712401	3.58252786791e-05	<0.01
ENSG00000085433	WDR47	1	109512836	109584850	9.65510705337e-07	<0.01
ENSG00000085832	EPS15	1	51819935	51985000	2.80834859258e-06	<0.01
ENSG00000086015	MAST2	1	46252659	46501896	6.03877695688e-06	<0.01
ENSG00000092847	EIF2C1	1	36335409	36389900	5.47852840526e-07	<0.01
ENSG00000116141	MARK1	1	220701568	220837803	0.000133923011768	<0.01
ENSG00000116212	LRRC42	1	54411750	54433841	0.000531589274966	<0.01
ENSG00000116254	CHD5	1	6161853	6240183	2.7233646981e-05	<0.01
ENSG00000116273	PHF13	1	6673745	6684093	0.000278922699655	<0.01
ENSG00000116350	SRSF4	1	29474255	29508499	0.000440756310344	<0.01
ENSG00000116497	S100PBP	1	33282368	33324476	4.37529620443e-06	<0.01
ENSG00000116525	TRIM62	1	33611003	33647671	1.79432833978e-10	<0.01
ENSG00000116539	ASH1L	1	155305059	155532598	5.75441033005e-13	<0.01
ENSG00000116604	MEF2D	1	156433519	156470620	1.26348055651e-09	<0.01
ENSG00000116667	C1orf21	1	184356192	184598154	2.19300552412e-05	<0.01
ENSG00000116670	MAD2L2	1	11734538	11751707	0.000233376763259	<0.01
ENSG00000116698	SMG7	1	183441351	183567381	8.98397315014e-06	<0.01
ENSG00000116731	PRDM2	1	14026693	14151560	0.00038864126361	<0.01
ENSG00000116747	TROVE2	1	193028552	193060907	9.53161252098e-05	<0.01
ENSG00000116786	PLEKHM2	1	16010827	16061264	2.51049287757e-05	<0.01
ENSG00000116871	MAP7D1	1	36621180	36646450	1.98173630164e-08	<0.01
ENSG00000116954	RRAGC	1	39303870	39325495	8.87841123658e-05	<0.01
ENSG00000117016	RIMS3	1	41086351	41131329	0.000620772610068	<0.05
